atmId,code_str,date,disbursement_amnt,money_fulfilled
3,S1A95015,2017-06-16,5430,0
3,S1A95015,2017-06-17,510,0
3,S1A95015,2017-06-19,6580,0
3,S1A95015,2017-06-20,8250,0
3,S1A95015,2017-06-21,6330,0
3,S1A95015,2017-06-22,5410,0
3,S1A95015,2017-06-23,5020,0
3,S1A95015,2017-06-24,100,0
3,S1A95015,2017-06-25,40,0
3,S1A95015,2017-06-26,8340,0
3,S1A95015,2017-06-27,11840,0
3,S1A95015,2017-06-28,7700,0
3,S1A95015,2017-06-29,8110,0
3,S1A95015,2017-06-30,7320,95970
3,S1A95015,2017-07-01,70,0
3,S1A95015,2017-07-02,200,0
3,S1A95015,2017-07-03,7560,0
3,S1A95015,2017-07-04,5460,0
3,S1A95015,2017-07-05,6700,0
3,S1A95015,2017-07-06,6000,0
3,S1A95015,2017-07-07,6200,0
3,S1A95015,2017-07-08,480,0
3,S1A95015,2017-07-10,5270,0
3,S1A95015,2017-07-11,4590,0
3,S1A95015,2017-07-12,5840,0
3,S1A95015,2017-07-13,4940,0
3,S1A95015,2017-07-14,6670,0
3,S1A95015,2017-07-15,490,0
3,S1A95015,2017-07-16,100,0
3,S1A95015,2017-07-17,4680,0
3,S1A95015,2017-07-18,5870,0
3,S1A95015,2017-07-19,6320,0
3,S1A95015,2017-07-20,5730,0
3,S1A95015,2017-07-21,6250,0
3,S1A95015,2017-07-22,80,0
3,S1A95015,2017-07-23,130,0
3,S1A95015,2017-07-24,3080,0
3,S1A95015,2017-07-25,4860,97570
3,S1A95015,2017-07-26,8340,0
3,S1A95015,2017-07-27,5200,0
3,S1A95015,2017-07-28,8160,0
3,S1A95015,2017-07-29,940,0
3,S1A95015,2017-07-31,6520,0
3,S1A95015,2017-08-01,3470,0
3,S1A95015,2017-08-02,4180,0
3,S1A95015,2017-08-03,3740,0
3,S1A95015,2017-08-04,3820,0
3,S1A95015,2017-08-05,580,0
3,S1A95015,2017-08-07,2020,0
3,S1A95015,2017-08-08,2090,0
